"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL"
"spotify:track:4gHjSmpB60BlvC49NXbT0m","Nick Fury (Main Title Theme)","Kris Bowers","Kris Bowers","2023-07-12","https://i.scdn.co/image/ab67616d0000b273d4c465f8c9e108c7ba8f09ab","https://p.scdn.co/mp3-preview/e25d741f2eee99be7f868684df6faba6bf66ee17?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2U9OeuNbVajvwXRjjbIL7A","He's One of Them","Kris Bowers","Kris Bowers","2023-07-12","https://i.scdn.co/image/ab67616d0000b273d4c465f8c9e108c7ba8f09ab","https://p.scdn.co/mp3-preview/bf92c255f812ce1cbcba8415edb50ff22c691350?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5HAguCXjP5MGcSJgVeb0NN","Stolen Identity","Kris Bowers","Kris Bowers","2023-07-12","https://i.scdn.co/image/ab67616d0000b273d4c465f8c9e108c7ba8f09ab","https://p.scdn.co/mp3-preview/7624f17929d09779e2cf6beb341145367e37cb66?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7cRmW97CFuBmhRCVv14TSM","Moscow Madness","Kris Bowers","Kris Bowers","2023-07-12","https://i.scdn.co/image/ab67616d0000b273d4c465f8c9e108c7ba8f09ab","https://p.scdn.co/mp3-preview/61e61f475a814778d28a3622f755258ab2f19d91?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0jwdRvDPKS1mszPov7diwF","Child Survivor","Kris Bowers","Kris Bowers","2023-07-12","https://i.scdn.co/image/ab67616d0000b273d4c465f8c9e108c7ba8f09ab","https://p.scdn.co/mp3-preview/92a22fdd65e69b0b83f279b17f0eaa9f909033bf?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:7GlKS0FNU5aeZUhRFJp00r","The Promise","Kris Bowers","Kris Bowers","2023-07-12","https://i.scdn.co/image/ab67616d0000b273d4c465f8c9e108c7ba8f09ab","https://p.scdn.co/mp3-preview/377d13234c026e71c70760033b29c2fe1644b32a?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:3ApLoV4AUhzsoZigemRi66","They're All Spies","Kris Bowers","Kris Bowers","2023-07-12","https://i.scdn.co/image/ab67616d0000b273d4c465f8c9e108c7ba8f09ab","https://p.scdn.co/mp3-preview/7028991eb540b72a0a05188d0801f8f99fc3eaf1?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:1pLkYjnGAgWG8ebeytYDAb","Sonya","Kris Bowers","Kris Bowers","2023-07-12","https://i.scdn.co/image/ab67616d0000b273d4c465f8c9e108c7ba8f09ab","https://p.scdn.co/mp3-preview/1ca0347111039c1d285439a66a450165ff8c6287?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0f5nwMckWxoYUSE1WgdD4n","A Need for Vengeance","Kris Bowers","Kris Bowers","2023-07-12","https://i.scdn.co/image/ab67616d0000b273d4c465f8c9e108c7ba8f09ab","https://p.scdn.co/mp3-preview/76c770eea5b1d9949540457ddf92990a6a7a5230?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:2vTwR9CebHijpP5Xqv6eGZ","Shootout","Kris Bowers","Kris Bowers","2023-07-12","https://i.scdn.co/image/ab67616d0000b273d4c465f8c9e108c7ba8f09ab","https://p.scdn.co/mp3-preview/5a902079c6083a6a96b5fa4facd6745dabdb37ec?cid=9950ac751e34487dbbe027c4fd7f8e99"
